"";"id";"treatment";"treat1";"treat3";"junsep07";"mayoct06";"marapr07";"fairmktvalue";"ageofhome";"acres";"pct_white";"pct_edu";"pct_pov";"pct_rent";"percapincome";"hhsize";"p1_log";"p1_trim";"p3_log";"p3_trim"
"133547.2";202189;6;0;0;43.4000015258789;76.5500030517578;19.3500003814697;207400;32;0.393999993801117;0.86748218536377;0.843340635299683;0.00493358634412289;0.0256916992366314;42433;2.02999997138977;0.123834371566772;1;0.123358234763145;1
"69246.6";202836;6;0;0;46;85.2999954223633;15.3999996185303;326700;20;1;0.973913013935089;0.825471699237823;0.00704225338995457;0;33913;3.27999997138977;0.0956147089600563;1;0.0955989509820938;1
"126633.17";218691;6;0;0;31.1500015258789;36.5999984741211;9.30000019073486;174500;10;0.185000002384186;0.788826823234558;0.828964591026306;0.018003273755312;0.0590909086167812;31241;2.73000001907349;0.0631940737366676;1;0.0628196001052856;1
"95336.43";206459;6;0;0;38;84.7000045776367;10.3000001907349;402600;8;0.689000010490417;0.972027957439423;0.808798670768738;0.0119189508259296;0.0580204762518406;35551;2.94000005722046;0.0601254999637604;1;0.060561615973711;1
"119399.1";210369;6;0;0;19.5;38.9500007629395;8.5;192600;22;0.679000020027161;0.713047921657562;0.776833176612854;0.0842656493186951;0.715294122695923;27666;2.39000010490417;0.0409113466739655;1;0.0406483635306358;1
"163141.18";212149;6;0;0;5.80000019073486;32.7999992370605;6.79999971389771;208700;20;0.504000008106232;0.937931060791016;0.816901385784149;0;0.0709219872951508;32598;3;0.0856365635991096;1;0.0855415910482407;1
"146766.1";201433;6;0;0;41.4000015258789;54.9000015258789;15.8500003814697;255100;32;0.619000017642975;0.928260862827301;0.854014575481415;0.019326338544488;0.0797024443745613;49564;1.83000004291534;0.107954360544682;1;0.107113666832447;1
"29033";203774;6;0;0;75.9499969482422;129.200012207031;19.1000003814697;431400;7;1.67999994754791;0.951090157032013;0.908900856971741;0.0117274755612016;0.00758459744974971;42204;3.4300000667572;0.0537939555943012;1;0.0542232990264893;1
"93875.2";233271;6;0;0;28.8999996185303;84.6500015258789;11.1999998092651;432400;22;0.444000005722046;0.926881730556488;0.944444417953491;0.0447870790958405;0.0380228124558926;43009;2.97000002861023;0.110587894916534;1;0.107525743544102;1
"62373.3";201143;6;0;0;21.2999992370605;36.9500007629395;8.80000019073486;305400;6;0.587000012397766;0.906451642513275;0.863275051116943;0;0.0968749970197678;38945;2.88000011444092;0.0487126521766186;1;0.0494275651872158;1
"215344.29";213685;6;0;0;18.4000015258789;34.2000007629395;8.60000038146973;224700;27;0.244000002741814;0.937931060791016;0.816901385784149;0;0.0709219872951508;32598;3;0.115240231156349;1;0.114977940917015;1
"76565.3";205400;6;0;0;45.6500015258789;64.5999984741211;17.5;349200;22;0.693000018596649;0.947272717952728;0.882022500038147;0.0131186647340655;0.0229007638990879;38534;3.14000010490417;0.103369630873203;1;0.102921292185783;1
"63122.1";231104;6;0;0;15.8999996185303;44;7;240600;32;0.72299998998642;0.902409613132477;0.851985573768616;0.0167317353188992;0.0399061031639576;34658;2.49000000953674;0.137363776564598;1;0.136482402682304;1
"101642.2";212304;6;0;0;27.3999996185303;40.8000030517578;10;396100;17;0.430000007152557;0.947272717952728;0.882022500038147;0.0131186647340655;0.0229007638990879;38534;3.3199999332428;0.0924682170152664;1;0.0927049741148949;1
"133311.2";225114;6;0;0;34.5499992370605;46;17;437900;18;0.702000021934509;0.926881730556488;0.944444417953491;0.0447870790958405;0.0380228124558926;43009;0;0.0948946550488472;1;0.093242309987545;1
"141210.7";206192;6;0;0;50.2000007629395;105.099998474121;14.6000003814697;234300;34;0.722000002861023;0.930769205093384;0.805515229701996;0.0250272043049335;0.0263157896697521;38217;2.42000007629395;0.136641502380371;1;0.133804023265839;1
